model,target,feature,importance,importance_share
lightgbm_trial_2,Revenue,COGS_lag_7,408.0,0.030895047705588367
lightgbm_trial_2,Revenue,COGS_lag_30,395.0,0.029910646675753445
lightgbm_trial_2,Revenue,dayofyear_sin,388.0,0.02938058458276541
lightgbm_trial_2,Revenue,Revenue_lag_14,374.0,0.02832046039678934
lightgbm_trial_2,Revenue,COGS_roll_std_7,311.0,0.023549901559897016
lightgbm_trial_2,Revenue,COGS_lag_14,301.0,0.022792669998485535
lightgbm_trial_2,Revenue,COGS_roll_std_30,301.0,0.022792669998485535
lightgbm_trial_2,Revenue,Revenue_roll_mean_7,293.0,0.022186884749356352
lightgbm_trial_2,Revenue,COGS_roll_min_7,268.0,0.020293805845827653
lightgbm_trial_2,Revenue,COGS_roll_mean_7,251.0,0.01900651219142814
lightgbm_trial_2,Revenue,dayofweek,250.0,0.018930789035286992
lightgbm_trial_2,Revenue,Revenue_lag_30,240.0,0.01817355747387551
lightgbm_trial_2,Revenue,COGS_roll_mean_365,236.0,0.017870664849310918
lightgbm_trial_2,Revenue,Revenue_roll_min_7,232.0,0.017567772224746328
lightgbm_trial_2,Revenue,dayofyear_cos,227.0,0.017189156444040586
lightgbm_trial_2,Revenue,dayofweek_sin,207.0,0.01567469332121763
lightgbm_trial_2,Revenue,dayofweek_cos,207.0,0.01567469332121763
lightgbm_trial_2,Revenue,Revenue_roll_std_7,206.0,0.01559897016507648
lightgbm_trial_2,Revenue,COGS_roll_std_90,202.0,0.015296077540511889
lightgbm_trial_2,Revenue,cogs_expanding_mean,185.0,0.014008783886112373
lightgbm_trial_2,Revenue,COGS_roll_std_365,172.0,0.01302438285627745
lightgbm_trial_2,Revenue,Revenue_roll_mean_30,162.0,0.01226715129486597
lightgbm_trial_2,Revenue,revenue_expanding_mean,161.0,0.012191428138724822
lightgbm_trial_2,Revenue,Revenue_roll_mean_365,160.0,0.012115704982583674
lightgbm_trial_2,Revenue,Revenue_roll_std_30,159.0,0.012039981826442525
lightgbm_trial_2,Revenue,dayofyear,150.0,0.011358473421172195
lightgbm_trial_2,Revenue,Revenue_roll_std_90,129.0,0.009768287142208088
lightgbm_trial_2,Revenue,Revenue_roll_std_365,129.0,0.009768287142208088
lightgbm_trial_2,Revenue,Revenue_roll_min_30,115.0,0.008708162956232016
lightgbm_trial_2,Revenue,COGS_roll_mean_30,107.0,0.008102377707102832
lightgbm_trial_2,Revenue,Revenue_roll_max_7,106.0,0.008026654550961684
lightgbm_trial_2,Revenue,COGS_roll_mean_90,100.0,0.007572315614114796
lightgbm_trial_2,Revenue,Revenue_roll_mean_90,96.0,0.007269422989550204
lightgbm_trial_2,Revenue,Revenue_roll_min_90,88.0,0.0066636377404210205
lightgbm_trial_2,Revenue,COGS_roll_max_30,88.0,0.0066636377404210205
lightgbm_trial_2,Revenue,COGS_roll_min_30,84.0,0.006360745115856429
lightgbm_trial_2,Revenue,COGS_roll_max_7,82.0,0.006209298803574133
lightgbm_trial_2,Revenue,year,76.0,0.005754959866727245
lightgbm_trial_2,Revenue,weekofyear,73.0,0.005527790398303802
lightgbm_trial_2,Revenue,Revenue_roll_min_365,68.0,0.0051491746175980615
lightgbm_trial_2,Revenue,Revenue_roll_max_30,67.0,0.005073451461456913
lightgbm_trial_2,Revenue,weekofyear_sin,65.0,0.004922005149174617
lightgbm_trial_2,Revenue,month_sin,41.0,0.0031046494017870664
lightgbm_trial_2,Revenue,COGS_roll_min_90,40.0,0.0030289262456459185
lightgbm_trial_2,Revenue,weekofyear_cos,35.0,0.0026503104649401787
lightgbm_trial_2,Revenue,is_quarter_end,33.0,0.002498864152657883
lightgbm_trial_2,Revenue,Revenue_roll_max_90,29.0,0.002195971528093291
lightgbm_trial_2,Revenue,COGS_roll_max_90,24.0,0.001817355747387551
lightgbm_trial_2,Revenue,is_month_end,21.0,0.0015901862789641072
lightgbm_trial_2,Revenue,COGS_roll_min_365,21.0,0.0015901862789641072
lightgbm_trial_2,Revenue,Revenue_roll_max_365,20.0,0.0015144631228229592
lightgbm_trial_2,Revenue,COGS_roll_max_365,20.0,0.0015144631228229592
lightgbm_trial_2,Revenue,month_cos,19.0,0.0014387399666818113
lightgbm_trial_2,Revenue,is_month_start,14.0,0.0010601241859760715
lightgbm_trial_2,Revenue,month,12.0,0.0009086778736937755
lightgbm_trial_2,Revenue,is_weekend,5.0,0.0003786157807057398
lightgbm_trial_2,Revenue,quarter,4.0,0.00030289262456459186
lightgbm_trial_2,Revenue,is_quarter_start,0.0,0.0
lightgbm_trial_2,Revenue,is_year_start,0.0,0.0
lightgbm_trial_2,Revenue,is_year_end,0.0,0.0
lightgbm_trial_3,COGS,dayofmonth,272.0,0.09109176155391828
lightgbm_trial_3,COGS,COGS_lag_365,196.0,0.06563965170797052
lightgbm_trial_3,COGS,COGS_lag_1,141.0,0.04722036168787676
lightgbm_trial_3,COGS,Revenue_lag_365,133.0,0.044541192230408574
lightgbm_trial_3,COGS,COGS_lag_7,117.0,0.0391828533154722
lightgbm_trial_3,COGS,COGS_lag_30,108.0,0.0361687876758205
lightgbm_trial_3,COGS,Revenue_lag_1,101.0,0.033824514400535834
lightgbm_trial_3,COGS,COGS_roll_min_7,97.0,0.03248492967180174
lightgbm_trial_3,COGS,Revenue_lag_7,96.0,0.032150033489618215
lightgbm_trial_3,COGS,dayofyear_sin,93.0,0.03114534494306765
lightgbm_trial_3,COGS,gross_margin_lag_1,89.0,0.029805760214333555
lightgbm_trial_3,COGS,COGS_lag_14,79.0,0.026456798392498326
lightgbm_trial_3,COGS,COGS_roll_std_7,78.0,0.026121902210314803
lightgbm_trial_3,COGS,Revenue_roll_std_7,68.0,0.02277294038847957
lightgbm_trial_3,COGS,cogs_to_revenue_lag_1,64.0,0.021433355659745478
lightgbm_trial_3,COGS,cogs_expanding_mean,64.0,0.021433355659745478
lightgbm_trial_3,COGS,Revenue_roll_min_7,61.0,0.02042866711319491
lightgbm_trial_3,COGS,COGS_roll_mean_365,61.0,0.02042866711319491
lightgbm_trial_3,COGS,Revenue_lag_14,59.0,0.019758874748827863
lightgbm_trial_3,COGS,COGS_roll_mean_7,58.0,0.01942397856664434
lightgbm_trial_3,COGS,dayofweek_sin,55.0,0.018419290020093772
lightgbm_trial_3,COGS,dayofweek_cos,52.0,0.017414601473543203
lightgbm_trial_3,COGS,dayofyear,50.0,0.016744809109176157
lightgbm_trial_3,COGS,dayofyear_cos,49.0,0.01640991292699263
